time_sec,frame,speed_mps,obstacle_ratio,override,brake,collision,roi_lookahead_px,min_obstacle_dist_px
86.200,19547,4.131,0.00000,0,0.000,0,182,
86.250,19548,4.114,0.00000,0,0.000,0,182,
86.300,19549,4.166,0.00000,0,0.000,0,183,
86.350,19550,4.309,0.00000,0,0.000,0,186,
86.400,19551,4.507,0.00000,0,0.000,0,190,
86.450,19552,4.735,0.00000,0,0.000,0,194,
86.500,19553,4.979,0.00000,0,0.000,0,199,
86.550,19554,5.232,0.00000,0,0.000,0,204,
86.600,19555,5.334,0.00000,0,0.000,0,206,
86.650,19556,5.422,0.00000,0,0.000,0,208,
86.700,19557,5.520,0.00000,0,0.000,0,210,
86.750,19558,5.712,0.00000,0,0.000,0,214,
86.800,19559,5.897,0.00000,0,0.000,0,217,
86.850,19560,6.227,0.00000,0,0.000,0,224,
86.900,19561,6.498,0.00000,0,0.000,0,229,
86.950,19562,6.734,0.00000,0,0.000,0,234,
87.000,19563,6.953,0.00000,0,0.000,0,239,
87.050,19564,7.212,0.00000,0,0.000,0,244,
87.100,19565,7.450,0.00000,0,0.000,0,249,
87.150,19566,7.752,0.00000,0,0.000,0,255,
87.200,19567,7.998,0.00000,0,0.000,0,259,
87.250,19568,8.239,0.00000,0,0.000,0,264,
87.300,19569,8.374,0.00000,0,0.000,0,267,
87.350,19570,8.440,0.00000,0,0.000,0,268,
87.400,19571,8.368,0.00000,0,0.000,0,267,
87.450,19572,8.303,0.00000,0,0.000,0,266,
87.500,19573,8.189,0.00000,0,0.000,0,263,
87.550,19574,8.072,0.00000,0,0.000,0,261,
87.600,19575,7.959,0.00000,0,0.000,0,259,
87.650,19576,7.913,0.00000,0,0.000,0,258,
87.700,19577,7.875,0.00000,0,0.000,0,257,
87.750,19578,7.883,0.00000,0,0.000,0,257,
87.800,19579,7.916,0.00000,0,0.000,0,258,
87.850,19580,8.008,0.00000,0,0.000,0,260,
87.900,19581,8.070,0.00000,0,0.000,0,261,
87.950,19582,8.150,0.00000,0,0.000,0,262,
88.000,19583,8.169,0.00000,0,0.000,0,263,
88.050,19584,8.174,0.00000,0,0.000,0,263,
88.100,19585,8.138,0.00000,0,0.000,0,262,
88.150,19586,8.124,0.00000,0,0.000,0,262,
88.200,19587,8.072,0.00000,0,0.000,0,261,
88.250,19588,8.033,0.00000,0,0.000,0,260,
88.300,19589,7.992,0.00000,0,0.000,0,259,
88.350,19590,8.003,0.00000,0,0.000,0,260,
88.400,19591,7.997,0.00000,0,0.000,0,259,
88.450,19592,8.003,0.00000,0,0.000,0,260,
88.500,19593,8.009,0.00000,0,0.000,0,260,
88.550,19594,8.056,0.00000,0,0.000,0,261,
88.600,19595,8.071,0.00000,0,0.000,0,261,
88.650,19596,8.092,0.00000,0,0.000,0,261,
88.700,19597,8.088,0.00000,0,0.000,0,261,
88.750,19598,8.110,0.00000,0,0.000,0,262,
88.800,19599,8.091,0.00000,0,0.000,0,261,
88.850,19600,8.099,0.00000,0,0.000,0,261,
88.900,19601,8.053,0.00000,0,0.000,0,261,
88.950,19602,8.052,0.00000,0,0.000,0,261,
89.000,19603,8.029,0.00000,0,0.000,0,260,
89.050,19604,8.023,0.00000,0,0.000,0,260,
89.100,19605,8.012,0.00000,0,0.000,0,260,
89.150,19606,8.043,0.00000,0,0.000,0,260,
89.200,19607,8.019,0.00000,0,0.000,0,260,
89.250,19608,8.039,0.00000,0,0.000,0,260,
89.300,19609,8.007,0.00000,0,0.000,0,260,
89.350,19610,8.032,0.00000,0,0.000,0,260,
89.400,19611,8.043,0.00000,0,0.000,0,260,
89.450,19612,8.088,0.00000,0,0.000,0,261,
89.500,19613,8.093,0.00000,0,0.000,0,261,
89.550,19614,8.120,0.00000,0,0.000,0,262,
89.600,19615,8.080,0.00000,0,0.000,0,261,
89.650,19616,8.082,0.00000,0,0.000,0,261,
89.700,19617,8.056,0.00000,0,0.000,0,261,
89.750,19618,8.066,0.00000,0,0.000,0,261,
89.800,19619,8.045,0.00000,0,0.000,0,260,
89.850,19620,8.041,0.00000,0,0.000,0,260,
89.900,19621,8.027,0.00000,0,0.000,0,260,
89.950,19622,8.054,0.00000,0,0.000,0,261,
90.000,19623,8.050,0.00000,0,0.000,0,261,
90.050,19624,8.080,0.00000,0,0.000,0,261,
90.100,19625,8.072,0.00000,0,0.000,0,261,
90.150,19626,8.093,0.00000,0,0.000,0,261,
90.200,19627,8.076,0.00000,0,0.000,0,261,
90.250,19628,8.088,0.00000,0,0.000,0,261,
90.300,19629,8.065,0.00000,0,0.000,0,261,
90.350,19630,8.075,0.00000,0,0.000,0,261,
90.400,19631,8.052,0.00000,0,0.000,0,261,
90.450,19632,8.065,0.00000,0,0.000,0,261,
90.500,19633,8.046,0.00000,0,0.000,0,260,
90.550,19634,8.064,0.00000,0,0.000,0,261,
90.600,19635,8.050,0.00000,0,0.000,0,260,
90.650,19636,8.070,0.00000,0,0.000,0,261,
90.700,19637,8.057,0.00000,0,0.000,0,261,
90.750,19638,8.077,0.00000,0,0.000,0,261,
90.800,19639,8.062,0.00000,0,0.000,0,261,
90.850,19640,8.079,0.00000,0,0.000,0,261,
90.900,19641,8.061,0.00000,0,0.000,0,261,
90.950,19642,8.077,0.00000,0,0.000,0,261,
91.000,19643,8.058,0.00000,0,0.000,0,261,
91.050,19644,8.073,0.00000,0,0.000,0,261,
91.100,19645,8.054,0.00000,0,0.000,0,261,
91.150,19646,8.071,0.00000,0,0.000,0,261,
91.200,19647,8.054,0.00000,0,0.000,0,261,
91.250,19648,8.071,0.00000,0,0.000,0,261,
91.300,19649,8.055,0.00000,0,0.000,0,261,
91.350,19650,8.073,0.00000,0,0.000,0,261,
91.400,19651,8.057,0.00000,0,0.000,0,261,
91.450,19652,8.075,0.00000,0,0.000,0,261,
91.500,19653,8.058,0.00000,0,0.000,0,261,
91.550,19654,8.075,0.00000,0,0.000,0,261,
91.600,19655,8.058,0.00000,0,0.000,0,261,
91.650,19656,8.074,0.00000,0,0.000,0,261,
91.700,19657,8.057,0.00000,0,0.000,0,261,
91.750,19658,8.073,0.00000,0,0.000,0,261,
91.800,19659,8.056,0.00000,0,0.000,0,261,
91.850,19660,8.073,0.00000,0,0.000,0,261,
91.900,19661,8.056,0.00000,0,0.000,0,261,
91.950,19662,8.073,0.00000,0,0.000,0,261,
92.000,19663,8.056,0.00000,0,0.000,0,261,
92.050,19664,8.074,0.00000,0,0.000,0,261,
92.100,19665,8.057,0.00000,0,0.000,0,261,
92.150,19666,8.074,0.00000,0,0.000,0,261,
92.200,19667,8.057,0.00000,0,0.000,0,261,
92.250,19668,8.074,0.00000,0,0.000,0,261,
92.300,19669,8.057,0.00000,0,0.000,0,261,
92.350,19670,8.074,0.00000,0,0.000,0,261,
92.400,19671,8.057,0.00000,0,0.000,0,261,
92.450,19672,8.074,0.00000,0,0.000,0,261,
92.500,19673,8.056,0.00000,0,0.000,0,261,
92.550,19674,8.074,0.00000,0,0.000,0,261,
92.600,19675,8.056,0.00000,0,0.000,0,261,
92.650,19676,8.074,0.00000,0,0.000,0,261,
92.700,19677,8.052,0.00000,0,0.000,0,261,
92.750,19678,8.052,0.00000,0,0.000,0,261,
92.800,19679,7.991,0.00000,0,0.000,0,259,
92.850,19680,7.920,0.00000,0,0.000,0,258,
92.900,19681,7.842,0.00000,0,0.000,0,256,
92.950,19682,7.806,0.00000,0,0.000,0,256,
93.000,19683,7.740,0.00000,0,0.000,0,254,
93.050,19684,7.710,0.00000,0,0.000,0,254,
93.100,19685,7.643,0.00000,0,0.000,0,252,
93.150,19686,7.610,0.00000,0,0.000,0,252,
93.200,19687,7.538,0.00000,0,0.000,0,250,
93.250,19688,7.502,0.00000,0,0.000,0,250,
93.300,19689,7.427,0.00000,0,0.000,0,248,
93.350,19690,7.391,0.00000,0,0.000,0,247,
93.400,19691,7.317,0.00000,0,0.000,0,246,
93.450,19692,7.283,0.00000,0,0.000,0,245,
93.500,19693,7.213,0.00000,0,0.000,0,244,
93.550,19694,7.183,0.00000,0,0.000,0,243,
93.600,19695,7.115,0.00000,0,0.000,0,242,
93.650,19696,7.088,0.00000,0,0.000,0,241,
93.700,19697,7.021,0.00000,0,0.000,0,240,
93.750,19698,6.994,0.00000,0,0.000,0,239,
93.800,19699,6.927,0.00000,0,0.000,0,238,
93.850,19700,6.899,0.00000,0,0.000,0,237,
93.900,19701,6.831,0.00000,0,0.000,0,236,
93.950,19702,6.803,0.00000,0,0.000,0,236,
94.000,19703,6.734,0.00000,0,0.000,0,234,
94.050,19704,6.706,0.00000,0,0.000,0,234,
94.100,19705,6.639,0.00000,0,0.000,0,232,
94.150,19706,6.612,0.00000,0,0.000,0,232,
94.200,19707,6.546,0.00000,0,0.000,0,230,
94.250,19708,6.521,0.00000,0,0.000,0,230,
94.300,19709,6.456,0.00000,0,0.000,0,229,
94.350,19710,6.433,0.00000,0,0.000,0,228,
94.400,19711,6.368,0.00000,0,0.000,0,227,
94.450,19712,6.346,0.00000,0,0.000,0,226,
94.500,19713,6.281,0.00000,0,0.000,0,225,
94.550,19714,6.258,0.00000,0,0.000,0,225,
94.600,19715,6.194,0.00000,0,0.000,0,223,
94.650,19716,6.172,0.00000,0,0.000,0,223,
94.700,19717,6.107,0.00000,0,0.000,0,222,
94.750,19718,6.085,0.00000,0,0.000,0,221,
94.800,19719,6.021,0.00000,0,0.000,0,220,
94.850,19720,6.001,0.00000,0,0.000,0,220,
94.900,19721,5.938,0.00000,0,0.000,0,218,
94.950,19722,5.919,0.00000,0,0.000,0,218,
95.000,19723,5.856,0.00000,0,0.000,0,217,
95.050,19724,5.838,0.00000,0,0.000,0,216,
95.100,19725,5.776,0.00000,0,0.000,0,215,
95.150,19726,5.758,0.00000,0,0.000,0,215,
95.200,19727,5.696,0.00000,0,0.000,0,213,
95.250,19728,5.678,0.00000,0,0.000,0,213,
95.300,19729,5.616,0.00000,0,0.000,0,212,
95.350,19730,5.600,0.00000,0,0.000,0,211,
95.400,19731,5.538,0.00000,0,0.000,0,210,
95.450,19732,5.522,0.00000,0,0.000,0,210,
95.500,19733,5.461,0.00000,0,0.000,0,209,
95.550,19734,5.433,0.00000,0,0.000,0,208,
95.600,19735,5.370,0.00000,0,0.000,0,207,
95.650,19736,5.358,0.00000,0,0.000,0,207,
95.700,19737,5.305,0.00000,0,0.000,0,206,
95.750,19738,5.299,0.00000,0,0.000,0,205,
95.800,19739,5.246,0.00000,0,0.000,0,204,
95.850,19740,5.237,0.00000,0,0.000,0,204,
95.900,19741,5.178,0.00000,0,0.000,0,203,
95.950,19742,5.164,0.00000,0,0.000,0,203,
96.000,19743,5.100,0.00000,0,0.000,0,201,
96.050,19744,5.082,0.00000,0,0.000,0,201,
96.100,19745,5.018,0.00000,0,0.000,0,200,
96.150,19746,5.051,0.00000,0,0.000,0,201,
96.200,19747,5.065,0.00000,0,0.000,0,201,
96.250,19748,5.022,0.00000,0,0.000,0,200,
